,fpr,tpr
0,0.0,0.0
1,0.0,0.02127659574468085
2,0.0,0.0851063829787234
3,0.007326007326007326,0.0851063829787234
4,0.007326007326007326,0.1276595744680851
5,0.02197802197802198,0.1276595744680851
6,0.02197802197802198,0.1702127659574468
7,0.02564102564102564,0.1702127659574468
8,0.02564102564102564,0.19148936170212766
9,0.029304029304029304,0.19148936170212766
10,0.029304029304029304,0.23404255319148937
11,0.03663003663003663,0.23404255319148937
12,0.03663003663003663,0.2553191489361702
13,0.05860805860805861,0.2553191489361702
14,0.05860805860805861,0.2978723404255319
15,0.06227106227106227,0.2978723404255319
16,0.06227106227106227,0.3404255319148936
17,0.06593406593406594,0.3404255319148936
18,0.06593406593406594,0.3617021276595745
19,0.07692307692307693,0.3617021276595745
20,0.07692307692307693,0.40425531914893614
21,0.08791208791208792,0.40425531914893614
22,0.08791208791208792,0.425531914893617
23,0.09157509157509157,0.425531914893617
24,0.09157509157509157,0.46808510638297873
25,0.0989010989010989,0.46808510638297873
26,0.0989010989010989,0.574468085106383
27,0.10256410256410256,0.574468085106383
28,0.10256410256410256,0.6170212765957447
29,0.10622710622710622,0.6170212765957447
30,0.10622710622710622,0.6595744680851063
31,0.1282051282051282,0.6595744680851063
32,0.1282051282051282,0.6808510638297872
33,0.13186813186813187,0.6808510638297872
34,0.13186813186813187,0.7021276595744681
35,0.13553113553113552,0.7021276595744681
36,0.13553113553113552,0.7659574468085106
37,0.13553113553113552,0.7872340425531915
38,0.15384615384615385,0.7872340425531915
39,0.15384615384615385,0.8085106382978723
40,0.16117216117216118,0.8085106382978723
41,0.17216117216117216,0.8085106382978723
42,0.17582417582417584,0.8085106382978723
43,0.17582417582417584,0.8297872340425532
44,0.1794871794871795,0.8297872340425532
45,0.1794871794871795,0.851063829787234
46,0.18681318681318682,0.851063829787234
47,0.20146520146520147,0.851063829787234
48,0.2454212454212454,0.851063829787234
49,0.2454212454212454,0.8723404255319149
50,0.2564102564102564,0.8723404255319149
51,0.2564102564102564,0.8936170212765957
52,0.2783882783882784,0.8936170212765957
53,0.2783882783882784,0.9148936170212766
54,0.32967032967032966,0.9148936170212766
55,0.32967032967032966,0.9361702127659575
56,0.4139194139194139,0.9361702127659575
57,0.42124542124542125,0.9361702127659575
58,0.42857142857142855,0.9361702127659575
59,0.4358974358974359,0.9361702127659575
60,0.4542124542124542,0.9361702127659575
61,0.46153846153846156,0.9361702127659575
62,0.48717948717948717,0.9361702127659575
63,0.48717948717948717,0.9574468085106383
64,0.5238095238095238,0.9574468085106383
65,0.5311355311355311,0.9574468085106383
66,0.5567765567765568,0.9574468085106383
67,0.5641025641025641,0.9574468085106383
68,0.575091575091575,0.9574468085106383
69,0.5824175824175825,0.9574468085106383
70,0.5860805860805861,0.9574468085106383
71,0.5860805860805861,0.9787234042553191
72,0.6227106227106227,0.9787234042553191
73,0.6227106227106227,1.0
74,0.7619047619047619,1.0
75,0.7692307692307693,1.0
76,0.7875457875457875,1.0
77,0.7948717948717948,1.0
78,0.8021978021978022,1.0
79,0.8095238095238095,1.0
80,0.8315018315018315,1.0
81,0.8424908424908425,1.0
82,0.8644688644688645,1.0
83,0.8791208791208791,1.0
84,0.8901098901098901,1.0
85,0.9010989010989011,1.0
86,0.9194139194139194,1.0
87,0.9230769230769231,1.0
88,0.9304029304029304,1.0
89,0.9413919413919414,1.0
90,0.9560439560439561,1.0
91,0.967032967032967,1.0
92,1.0,1.0
